"d","med","avg","mature"
1999-03-01,1.35797399041752,1.68440565822496,TRUE
1999-04-01,1.35797399041752,1.68720054757016,TRUE
1999-05-01,1.35797399041752,1.68720054757016,TRUE
1999-06-01,1.35797399041752,1.6709222390858,TRUE
1999-07-01,1.32511978097194,1.65482691831593,TRUE
1999-08-01,1.32511978097194,1.65482691831593,TRUE
1999-09-01,1.32511978097194,1.61192486120618,TRUE
1999-10-01,1.32511978097194,1.61192486120618,TRUE
1999-11-01,1.39082819986311,1.64374477146551,TRUE
1999-12-01,1.42778918548939,1.7218700711246,TRUE
2000-01-01,1.44010951403149,1.71902078145252,TRUE
2000-02-01,1.44010951403149,1.75609756097561,TRUE
2000-03-01,1.42778918548939,1.71072444972802,TRUE
2000-04-01,1.42778918548939,1.71072444972802,TRUE
2000-05-01,1.42778918548939,1.71072444972802,TRUE
2000-06-01,1.44010951403149,1.70282150733896,TRUE
2000-07-01,1.44010951403149,1.70282150733896,TRUE
2000-08-01,1.44010951403149,1.70282150733896,TRUE
2000-09-01,1.44010951403149,1.70282150733896,TRUE
2000-10-01,1.44010951403149,1.70282150733896,TRUE
2000-11-01,1.42778918548939,1.69668524493987,TRUE
2000-12-01,1.42778918548939,1.69668524493987,TRUE
2001-01-01,1.35797399041752,1.58671490499006,TRUE
2001-02-01,1.4031485284052,1.58409557588202,TRUE
2001-03-01,1.4154688569473,1.59393852569919,TRUE
2001-04-01,1.41957563312799,1.59006906850849,TRUE
2001-05-01,1.41957563312799,1.59006906850849,TRUE
2001-06-01,1.41957563312799,1.59006906850849,TRUE
2001-07-01,1.41957563312799,1.59006906850849,TRUE
2001-08-01,1.4154688569473,1.57986158643243,TRUE
2001-09-01,1.4154688569473,1.58308616624838,TRUE
2001-10-01,1.4031485284052,1.53512538112127,TRUE
2001-11-01,1.39082819986311,1.51902045782949,TRUE
2001-12-01,1.39082819986311,1.51902045782949,TRUE
2002-01-01,1.39082819986311,1.51902045782949,TRUE
2002-02-01,1.4031485284052,1.54265447078589,TRUE
2002-03-01,1.4154688569473,1.57057128758576,TRUE
2002-04-01,1.4031485284052,1.54309003795657,TRUE
2002-05-01,1.39082819986311,1.54064594177292,TRUE
2002-06-01,1.39082819986311,1.54064594177292,TRUE
2002-07-01,1.35797399041752,1.48110882956879,TRUE
2002-08-01,1.32511978097194,1.448027082524,TRUE
2002-09-01,1.42368240930869,1.42642026009582,TRUE
2002-10-01,1.4072553045859,1.40953684690851,TRUE
2002-11-01,1.4072553045859,1.40953684690851,TRUE
2002-12-01,1.4072553045859,1.40953684690851,TRUE
2003-01-01,1.4072553045859,1.40953684690851,TRUE
2003-02-01,1.42368240930869,1.4239406971188,TRUE
2003-03-01,1.42368240930869,1.42554208154146,TRUE
2003-04-01,1.24845995893224,1.36999269133053,TRUE
2003-05-01,1.1813826146475,1.34049737622633,TRUE
2003-06-01,1.1813826146475,1.34049737622633,TRUE
2003-07-01,1.1813826146475,1.34049737622633,TRUE
2003-08-01,1.1813826146475,1.34049737622633,TRUE
2003-09-01,1.1813826146475,1.34049737622633,TRUE
2003-10-01,1.1813826146475,1.33281408577026,TRUE
2003-11-01,1.1813826146475,1.33281408577026,TRUE
2003-12-01,1.11430527036277,1.29159311694706,TRUE
2004-01-01,1.1813826146475,1.30316627373438,TRUE
2004-02-01,1.11430527036277,1.30151227512818,TRUE
2004-03-01,1.37166324435318,1.31913073237509,TRUE
2004-04-01,1.37166324435318,1.31913073237509,TRUE
2004-05-01,1.37166324435318,1.31913073237509,TRUE
2004-06-01,1.25530458590007,1.30524962147139,TRUE
2004-07-01,1.25530458590007,1.30678447721569,TRUE
2004-08-01,1.24845995893224,1.28928254007172,TRUE
2004-09-01,1.24845995893224,1.28928254007172,TRUE
2004-10-01,1.1211498973306,1.25085557837098,TRUE
2004-11-01,1.11430527036277,1.24410253444004,TRUE
2004-12-01,1.07323750855578,1.20207521153865,TRUE
2005-01-01,1.06913073237509,1.19640053146515,TRUE
2005-02-01,1.06913073237509,1.19640053146515,TRUE
2005-03-01,1.06913073237509,1.19640053146515,TRUE
2005-04-01,1.06913073237509,1.19640053146515,TRUE
2005-05-01,1.06913073237509,1.19640053146515,TRUE
2005-06-01,1.04585900068446,1.14320979342691,TRUE
2005-07-01,1.37166324435318,1.3658157358819,TRUE
2005-08-01,1.37166324435318,1.3658157358819,TRUE
2005-09-01,1.37166324435318,1.3658157358819,TRUE
2005-10-01,1.37166324435318,1.3658157358819,TRUE
2005-11-01,1.37166324435318,1.3658157358819,TRUE
2005-12-01,1.37166324435318,1.3658157358819,TRUE
2006-01-01,1.37166324435318,1.38334243062234,TRUE
