"d","v","mature"
2015-03-01,1.36618754277892,TRUE
2015-04-01,1.36618754277892,TRUE
2015-05-01,1.36618754277892,TRUE
2015-06-01,1.36618754277892,TRUE
2015-07-01,1.36618754277892,TRUE
2015-08-01,1.36618754277892,TRUE
2015-09-01,1.36618754277892,TRUE
2015-10-01,1.36618754277892,TRUE
2015-11-01,1.36618754277892,TRUE
2015-12-01,1.36618754277892,TRUE
2016-01-01,1.36618754277892,TRUE
2016-02-01,1.36618754277892,TRUE
2016-03-01,1.36618754277892,TRUE
2016-04-01,1.75633127994524,TRUE
2016-05-01,2.14647501711157,TRUE
2016-06-01,2.14647501711157,TRUE
2016-07-01,3.37303216974675,TRUE
2016-08-01,3.37303216974675,TRUE
2016-09-01,3.37303216974675,TRUE
2016-10-01,3.37303216974675,TRUE
2016-11-01,3.37303216974675,TRUE
2016-12-01,3.37303216974675,TRUE
2017-01-01,3.37303216974675,TRUE
2017-02-01,3.37303216974675,TRUE
2017-03-01,3.37303216974675,TRUE
2017-04-01,3.37303216974675,TRUE
2017-05-01,3.37303216974675,TRUE
2017-06-01,3.23066392881588,TRUE
2017-07-01,3.23066392881588,TRUE
2017-08-01,3.23066392881588,TRUE
2017-09-01,3.23066392881588,TRUE
2017-10-01,3.23066392881588,TRUE
2017-11-01,0.766598220396988,TRUE
2017-12-01,0.766598220396988,TRUE
2018-01-01,0.766598220396988,TRUE
2018-02-01,0.661190965092402,TRUE
2018-03-01,0.514715947980835,TRUE
2018-04-01,0.514715947980835,TRUE
2018-05-01,0.514715947980835,TRUE
2018-06-01,0.514715947980835,TRUE
2018-07-01,0.514715947980835,TRUE
2018-08-01,0.514715947980835,TRUE
2018-09-01,0.514715947980835,TRUE
2018-10-01,0.514715947980835,TRUE
2018-11-01,0.514715947980835,TRUE
2018-12-01,0.514715947980835,TRUE
2019-01-01,0.535249828884326,TRUE
2019-02-01,0.555783709787817,TRUE
2019-03-01,0.555783709787817,TRUE
2019-04-01,0.555783709787817,TRUE
2019-05-01,0.555783709787817,TRUE
2019-06-01,0.535249828884326,TRUE
2019-07-01,0.555783709787817,TRUE
2019-08-01,0.555783709787817,TRUE
2019-09-01,0.555783709787817,TRUE
2019-10-01,0.555783709787817,TRUE
2019-11-01,0.555783709787817,TRUE
2019-12-01,0.576317590691307,TRUE
2020-01-01,0.555783709787817,TRUE
2020-02-01,0.576317590691307,TRUE
2020-03-01,0.576317590691307,TRUE
2020-04-01,0.576317590691307,TRUE
2020-05-01,0.576317590691307,TRUE
2020-06-01,1.13347022587269,TRUE
2020-07-01,1.13347022587269,TRUE
2020-08-01,1.13347022587269,TRUE
2020-09-01,1.15126625598905,TRUE
2020-10-01,1.16906228610541,TRUE
2020-11-01,1.16906228610541,TRUE
2020-12-01,1.16906228610541,TRUE
2021-01-01,1.16906228610541,TRUE
2021-02-01,1.21697467488022,TRUE
2021-03-01,1.44147843942505,TRUE
2021-04-01,1.44147843942505,TRUE
2021-05-01,1.44147843942505,TRUE
2021-06-01,1.37440109514031,TRUE
2021-07-01,1.37440109514031,TRUE
